id,surface_name,surface_group,surface_kind,syntax,example,source_file,lexer_status,parser_status,ast_node,ast_contract_status,semantic_status,type_binding_status,layout_status,hir_status,mir_opcode,mir_status,mir_verify_status,mir_json_status,ast_interpreter_status,mir_interpreter_status,x64_ast_status,x64_mir_status,x86_status,js_transpiler_status,wasm_wat_status,browser_runtime_status,library_binding_status,vscode_evidence_status,test_status,doc_status,final_decision,required_action,owner
UXB-SURFACE-013,EXP,builtin,builtin_function,EXP,EXP,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,EXP_STMT,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,MIR_EXP,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-014,FIX,builtin,builtin_function,FIX,FIX,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,FIX_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,MISSING,MIR_FIX,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-015,GETKEY,builtin,builtin_function,GETKEY,GETKEY,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,GETKEY_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,RUNTIME_CALL,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-016,INKEY,builtin,builtin_function,INKEY,INKEY,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,INKEY_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,RUNTIME_CALL,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-017,INLINE,builtin,builtin_function,INLINE,INLINE,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,INLINE_STMT,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,MISSING,MISSING,MISSING,MISSING,NATIVE_ONLY,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-018,INT,builtin,builtin_function,INT,INT,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,INT_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIR_INT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-019,LCASE,builtin,builtin_function,LCASE,LCASE,src/parser/parser/parser_path_validation_helpers.fbs,IMPLEMENTED,IMPLEMENTED,LCASE_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-020,LEN,builtin,builtin_function,LEN,LEN,src/parser/parser/parser_path_validation_helpers.fbs,IMPLEMENTED,IMPLEMENTED,LEN_STMT,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,MIR_LEN,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-021,LOF,builtin,builtin_function,LOF,LOF,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,LOF_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,RUNTIME_CALL,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-022,LOG,builtin,builtin_function,LOG,LOG,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,LOG_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,MISSING,MIR_LOG,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-023,LTRIM,builtin,builtin_function,LTRIM,LTRIM,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,LTRIM_STMT,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,MISSING,MIR_LTRIM,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-024,MAGIC,builtin,builtin_function,MAGIC,MAGIC,src/parser/parser/parser_stmt_decl_class_method.fbs,IMPLEMENTED,IMPLEMENTED,MAGIC_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-025,MID,builtin,builtin_function,MID,MID,src/parser/parser/parser_path_validation_helpers.fbs,IMPLEMENTED,IMPLEMENTED,MID_STMT,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,MIR_MID,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-026,MIXIN,builtin,builtin_function,MIXIN,MIXIN,src/parser/parser/parser_stmt_decl_class_method.fbs,IMPLEMENTED,IMPLEMENTED,MIXIN_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-027,OFF,builtin,builtin_function,OFF,OFF,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,OFF_STMT,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,MISSING,MIR_OFF,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-028,ON,builtin,builtin_function,ON,ON,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,ON_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIR_ON,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-029,OVERRIDE,builtin,builtin_function,OVERRIDE,OVERRIDE,src/parser/parser/parser_stmt_decl_class_method.fbs,IMPLEMENTED,IMPLEMENTED,OVERRIDE_STMT,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-030,PARALEL,builtin,builtin_function,PARALEL,PARALEL,src/parser/parser/parser_stmt_event_pipe.fbs,IMPLEMENTED,IMPLEMENTED,PARALEL_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-031,PARALLEL,builtin,builtin_function,PARALLEL,PARALLEL,src/codegen/x64/mir_x64_codegen.fbs,IMPLEMENTED,MISSING,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_PARSER_HANDLER,codex-step1
UXB-SURFACE-032,PIPE,builtin,builtin_function,PIPE,PIPE,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,PIPE_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,N/A,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-033,RANDOMIZE,builtin,builtin_function,RANDOMIZE,RANDOMIZE,src/parser/parser/parser_stmt_basic.fbs,IMPLEMENTED,IMPLEMENTED,RANDOMIZE_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,MIR_RANDOMIZE,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-034,RND,builtin,builtin_function,RND,RND,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,RND_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,MIR_RND,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-035,RTRIM,builtin,builtin_function,RTRIM,RTRIM,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,RTRIM_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-036,SETSTRINGSIZE,builtin,builtin_function,SETSTRINGSIZE,SETSTRINGSIZE,src/parser/parser/parser_stmt_decl_core.fbs,IMPLEMENTED,IMPLEMENTED,SETSTRINGSIZE_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,MIR_SETSTRINGSIZE,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-037,SGN,builtin,builtin_function,SGN,SGN,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,SGN_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,MIR_SGN,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-038,SIHIRLIMETOT,builtin,builtin_function,SIHIRLIMETOT,SIHIRLIMETOT,src/parser/parser/parser_stmt_decl_class_method.fbs,IMPLEMENTED,IMPLEMENTED,SIHIRLIMETOT_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-039,SIN,builtin,builtin_function,SIN,SIN,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,SIN_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MIR_SIN,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-040,SLOT,builtin,builtin_function,SLOT,SLOT,src/parser/parser/parser_stmt_event_pipe.fbs,IMPLEMENTED,IMPLEMENTED,SLOT_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,MISSING,MIR_SLOT,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-041,SPACE,builtin,builtin_function,SPACE,SPACE,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,SPACE_STMT,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,MIR_SPACE,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-042,SQR,builtin,builtin_function,SQR,SQR,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,SQR_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,MIR_SQR,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-043,SQRT,builtin,builtin_function,SQRT,SQRT,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,SQRT_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,MISSING,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-044,STR,builtin,builtin_function,STR,STR,src/parser/parser/parser_expr.fbs,IMPLEMENTED,IMPLEMENTED,STR_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIR_STR,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,KEEP_GATE_COVERAGE,codex-step1
UXB-SURFACE-045,STRPTR,builtin,builtin_function,STRPTR,STRPTR,src/parser/parser/parser_stmt_dispatch.fbs,IMPLEMENTED,IMPLEMENTED,STRPTR_STMT,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-046,TAN,builtin,builtin_function,TAN,TAN,src/parser/parser/parser_shared.fbs,IMPLEMENTED,IMPLEMENTED,TAN_STMT,MISSING,IMPLEMENTED,MISSING,IMPLEMENTED,MISSING,MIR_TAN,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-047,THREAD,builtin,builtin_function,THREAD,THREAD,src/parser/parser/parser_stmt_event_pipe.fbs,IMPLEMENTED,IMPLEMENTED,THREAD_STMT,MISSING,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,MIR_THREAD,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,BROKEN,ADD_AST_CONTRACT,codex-step1
UXB-SURFACE-048,THREAT,builtin,builtin_function,THREAT,THREAT,docs/keyword_layer_matrix.csv,IMPLEMENTED,MISSING,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,N/A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,IMPLEMENTED,WASM_UNSUPPORTED,IMPLEMENTED,MISSING,MISSING,MISSING,IMPLEMENTED,BROKEN,ADD_PARSER_HANDLER,codex-step1
