"feature","D","P","S","R","T","tests_ref_count","tests_missing_count","src_token_hit","src_token","status","phase"
"INC","OK","OK","OK","OK","OK","0","0","1","NC","TUTARLI","B2 tamam"
"DEC","OK","OK","OK","OK","OK","0","0","1","DEC","TUTARLI","B2 tamam"
"RANDOMIZE","OK","OK","OK","OK","OK","0","0","1","RANDOM","TUTARLI","R4"
"POKEB/POKEW/POKED","OK","OK","OK","OK","OK","0","0","1","POKEB","TUTARLI","B2 tamam"
"POKES","OK","OK","OK","OK","OK","2","0","1","POKES","TUTARLI","R3"
"MEMCOPYB/W/D","OK","OK","OK","OK","OK","0","0","1","MEMCOPYB","TUTARLI","B2 tamam"
"MEMFILLB/W/D","OK","OK","OK","OK","OK","0","0","1","MEMF","TUTARLI","B2 tamam"
"SETNEWOFFSET","OK","OK","OK","OK","OK","2","0","1","SETNEWOFFSET","TUTARLI","R3"
"SIZEOF","OK","OK","OK","OK","OK","0","0","1","\bSIZEOF\b|ValidateSizeOfCall|ExecBuiltinArgAsTypeName","TUTARLI","B2 tamam"
"OFFSETOF","OK","OK","OK","OK","OK","0","0","1","OFFSETOF","TUTARLI","B2 tamam"
"PEEKB/PEEKW/PEEKD","OK","OK","OK","OK","OK","0","0","1","PEEKB","TUTARLI","B2 tamam"
"VARPTR","OK","OK","OK","OK","OK","0","0","1","VARPTR","TUTARLI","R2"
"SADD","OK","OK","OK","OK","OK","0","0","1","SADD","TUTARLI","R2"
"LPTR","OK","OK","OK","OK","OK","0","0","1","LPTR","TUTARLI","R2"
"CODEPTR","OK","OK","OK","OK","OK","0","0","1","CODEPTR","TUTARLI","R2"
"LEN","OK","OK","OK","OK","OK","0","0","1","LEN","TUTARLI","B2 tamam"
"ABS","OK","OK","OK","OK","OK","0","0","1","ABS","TUTARLI","B2 tamam"
"INT","OK","OK","OK","OK","OK","0","0","1","NT","TUTARLI","R4"
"SGN","OK","OK","OK","OK","OK","0","0","1","SGN","TUTARLI","B2 tamam"
"VAL","OK","OK","OK","OK","OK","0","0","1","VAL","TUTARLI","B2 tamam"
"ASC","OK","OK","OK","OK","OK","0","0","1","ASC","TUTARLI","B2 tamam"
"CINT","OK","OK","OK","OK","OK","0","0","1","NT","TUTARLI","B2 tamam"
"CLNG","OK","OK","OK","OK","OK","0","0","1","CLNG","TUTARLI","B2 tamam"
"STR","OK","OK","OK","OK","OK","0","0","1","STR","TUTARLI","R4"
"UCASE/LCASE","OK","OK","OK","OK","OK","0","0","1","UCASE","TUTARLI","R4"
"CHR","OK","OK","OK","OK","OK","0","0","1","CHR","TUTARLI","R4"
"LTRIM/RTRIM","OK","OK","OK","OK","OK","0","0","1","LTR","TUTARLI","R4"
"MID","OK","OK","OK","OK","OK","0","0","1","\bMID\b|ValidateArgCountInRange","TUTARLI","R4"
"SPACE/STRING","OK","OK","OK","OK","OK","0","0","1","SPACE","TUTARLI","R4"
"SQR","OK","OK","OK","OK","OK","0","0","1","SQR","TUTARLI","R4"
"SIN/COS/TAN/ATN","OK","OK","OK","OK","OK","0","0","1","COS","TUTARLI","R4"
"EXP/LOG","OK","OK","OK","OK","OK","0","0","1","EXP","TUTARLI","R4"
"CDBL/CSNG/FIX","OK","OK","OK","OK","OK","0","0","1","CDBL","TUTARLI","R4"
"RND","OK","OK","OK","OK","OK","0","0","1","RND","TUTARLI","R4"
"INKEY/GETKEY","OK","OK","OK","OK","OK","0","0","1","NKEY","TUTARLI","R1.M"
"TIMER","OK","OK","OK","OK","OK","0","0","1","MER","TUTARLI","R4"
"LOF/EOF","OK","OK","OK","OK","OK","0","0","1","LOF","TUTARLI","R1.M"
"I8/U8/I16/U16/I32/U32/I64/U64","OK","OK","OK","OK","OK","1","0","1","U8","TUTARLI","R4"
"F32/F64/F80","OK","OK","OK","OK","OK","1","0","1","F32","TUTARLI","R4"
"BOOLEAN","OK","OK","OK","OK","OK","1","0","1","BOOLEAN","TUTARLI","R4"
"STRING","OK","OK","OK","OK","OK","2","0","1","STR","TUTARLI","R4"
"ARRAY","OK","OK","OK","OK","OK","2","0","1","ARRAY","TUTARLI","R3"
"TYPE","OK","OK","OK","OK","OK","0","0","1","TYPE","TUTARLI","B2 tamam"
"CLASS","OK","OK","OK","OK","OK","0","0","1","CLASS","TUTARLI","R3"
"LIST/DICT/SET","OK","OK","OK","OK","OK","2","0","1","ST","TUTARLI","R5"
"NAMESPACE ... END NAMESPACE","OK","OK","OK","N/A","OK","1","0","1","NAMESPACE","TUTARLI","R6"
"MODULE ... END MODULE","OK","OK","OK","N/A","OK","1","0","1","MODULE","TUTARLI","R6"
"MAIN ... END MAIN","OK","OK","OK","N/A","OK","1","0","1","MAIN_STMT|ParseMainStmt|\bEND\s+MAIN\b","TUTARLI","R6"
"USING","OK","OK","OK","N/A","OK","1","0","1","US","TUTARLI","R6"
"ALIAS yeni = eski","OK","OK","OK","N/A","OK","1","0","1","AS","TUTARLI","R6"
"CALL(DLL, ...)","OK","OK","OK","OK","OK","1","0","1","CALL","TUTARLI","FFI-1"
"END CLASS","OK","OK","OK","OK","OK","2","0","1","CLASS","TUTARLI","R3"
"END IF / END SELECT / END SUB / END FUNCTION","OK","OK","OK","OK","OK","2","0","1","SELECT","TUTARLI","R1-R2"
"%%DESTOS","OK","OK","OK","N/A","OK","1","0","1","DESTOS","TUTARLI","R6"
"%%PLATFORM","OK","OK","OK","N/A","OK","1","0","1","PLATFORM","TUTARLI","R6"
"%%IFC","OK","OK","OK","N/A","OK","1","0","1","%%IFC|\bIFC\b|preprocess_ifc","TUTARLI","R6.N"
"%%ENDCOMP","OK","OK","OK","N/A","OK","1","0","1","ENDCOMP","TUTARLI","R6.N"
"%%ERRORENDCOMP","OK","OK","OK","N/A","OK","1","0","1","ERRORENDCOMP","TUTARLI","R6.N"
"%%NOZEROVARS","OK","OK","OK","N/A","OK","1","0","1","NOZEROVARS","TUTARLI","R6"
"%%SECSTACK","OK","OK","OK","N/A","OK","1","0","1","SECSTACK","TUTARLI","R6"
"CLASS / END CLASS taban blogu","OK","OK","OK","OK","OK","3","0","1","CLASS","TUTARLI","R3"
"PUBLIC/PRIVATE erisim bolgesi","OK","OK","OK","N/A","OK","1","0","1","\bPUBLIC\b|\bPRIVATE\b|CLASS_ACCESS","TUTARLI","OOP-P0"
"METHOD bildirimi","OK","OK","OK","OK","OK","3","0","1","METHOD","TUTARLI","OOP-P0"
"THIS/ME modeli","OK","OK","OK","OK","OK","1","0","1","ME","TUTARLI","OOP-P0"
"Constructor/Destructor","OK","OK","OK","OK","OK","2","0","1","CONSTRUCTOR","TUTARLI","OOP-P1"
"Inheritance","OK","OK","OK","OK","OK","1","0","1","\bEXTENDS\b|CLASS_BASE_REF|inheritance","TUTARLI","OOP-P2"
"VTable/Polymorphism","OK","OK","OK","OK","OK","1","0","1","\bVIRTUAL\b|\bOVERRIDE\b|dispatch","TUTARLI","OOP-P2"
"Interface","OK","OK","OK","OK","OK","2","0","1","\bINTERFACE\b|\bIMPLEMENTS\b|INTERFACE_STMT","TUTARLI","OOP-P2"
"CALL(DLL, lib, symbol, signature, ...)","OK","OK","OK","OK","OK","0","0","1","CALL","TUTARLI","FFI-CORE"
"Calling convention: stdcall/cdecl secimi","OK","OK","OK","OK","OK","1","0","1","CALL","TUTARLI","FFI-CONV-1"
"DLL path policy (absolute/segments/invalid chars)","OK","OK","OK","OK","OK","0","0","1","DLL","TUTARLI","FFI-CORE"
"Signature/arity/byref contract","OK","OK","OK","OK","OK","0","0","1","AR","TUTARLI","FFI-CORE"
"NAMESPACE+MODULE+MAIN ile DLL cagrisi","OK","OK","OK","OK","OK","1","0","1","NAMESPACE","TUTARLI","FFI-SCOPE-1"
"USING/ALIAS ile DLL cagrisi isim cozumleme","OK","OK","OK","OK","OK","1","0","1","US","TUTARLI","FFI-SCOPE-1"
"Strongly-typed marshalling (STRING/PTR/NUM)","OK","OK","OK","OK","OK","3","0","1","STRONGLY","TUTARLI","FFI-SCOPE-2"
"Win64 ABI uyumu (shadow space + alignment)","OK","OK","OK","OK","OK","2","0","1","AB","TUTARLI","FFI-CONV-2"
"x86 stdcall/cdecl ayristirma","OK","OK","OK","OK","OK","3","0","1","X86","TUTARLI","FFI-CONV-3"
"Ilk resmi DLL: uXStat","OK","PLAN","PLAN","PLAN","PLAN","0","0","1","DLL","TUTARLI","UXSTAT-0"
"HIR olusumu (typed AST bridge)","OK","KISMEN","KISMEN","N/A","KISMEN","0","0","1","TYPED","TUTARLI","CG-1"
"MIR olusumu (CFG/basic block)","OK","KISMEN","KISMEN","KISMEN","KISMEN","0","0","1","BAS","TUTARLI","CG-1"
"MIR interpreter dispatch","OK","KISMEN","KISMEN","KISMEN","KISMEN","0","0","0","","TUTARLI","CG-2"
"x64 emitter passthrough INLINE","OK","OK","OK","KISMEN","KISMEN","0","0","1","X64","TUTARLI","CG-2"
"CALL [register] / stack arg passing","OK","OK","OK","KISMEN","OK","0","0","1","CALL","TUTARLI","CG-3"
"Win64 ABI (shadow space + alignment)","OK","OK","OK","KISMEN","OK","0","0","1","AB","TUTARLI","CG-3"
"Regression gate (interp vs compiled parity)","OK","OK","OK","OK","OK","0","0","1","ON","TUTARLI","CG-QA"
"TRY/CATCH unwinding emit (label table + finally trampoline)","OK","KISMEN","KISMEN","KISMEN","OK","0","0","1","TRY","TUTARLI","ERR-CG-1"
"THROW emit (error object materialization + jump to handler)","OK","KISMEN","KISMEN","KISMEN","OK","0","0","1","THROW","TUTARLI","ERR-CG-2"
"ASSERT emit (debug/release policy)","OK","KISMEN","KISMEN","KISMEN","OK","0","0","1","ASSERT","TUTARLI","ERR-CG-3"
